政府統計コード	政府統計名	作成機関	担当部局課室名	統計の種類	提供周期	データ一覧	統計表ファイル	データベース	作成機関情報
00450104	労使関係総合調査（団体交渉と労働争議に関する実態調査）	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450105	労使関係総合調査（労働組合実態調査）	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450106	労使関係総合調査（労使コミュニケーション調査）	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450107	林業労働者職種別賃金調査	厚生労働省	政策統括官付参事官付賃金福祉統計室	その他	年	?登録あり	〇	-	?作成機関情報
00450108	労働争議統計調査	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	月	?登録あり	〇	-	?作成機関情報
00450109	労働安全衛生特別調査（労働災害防止対策等重点調査票）	厚生労働省	政策統括官付参事官付賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450110	労働安全衛生調査（実態調査）	厚生労働省	政策統括官付参事官付賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450111	労使関係総合調査（労使間の交渉等に関する実態調査）	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	"２年又は
３年"	?登録あり	〇	-	?作成機関情報
00450121	病院経営収支調査	厚生労働省	医政局医療経営支援課	その他	年	-	-	-	-
00450122	無医地区等調査	厚生労働省	医政局地域医療計画課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450123	院内感染対策サーベイランス	厚生労働省	健康局結核感染症課	一般統計	１月、６月、年	?登録あり	〇	-	?作成機関情報
00450124	人生の最終段階における医療に関する意識調査	厚生労働省	医政局地域医療計画課	業務統計	５年	?登録あり	〇	-	?作成機関情報
00450125	病床機能報告制度	厚生労働省	医政局地域医療計画課	業務統計	年	-	-	-	-
00450126	新型コロナウイルス感染症関係調査	厚生労働省	健康局結核感染症課	その他	１年	?登録あり	〇	-	?作成機関情報
00450131	歯科疾患実態調査	厚生労働省	医政局歯科保健課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450132	無歯科医地区等調査	厚生労働省	医政局歯科保健課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450141	看護師等学校養成所入学状況及び卒業生就業状況調査	厚生労働省	医政局看護課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00450151	薬事工業生産動態統計調査	厚生労働省	医政局経済課	基幹統計	月、年	?登録あり	〇	〇	?作成機関情報
00450152	医薬品・医療機器産業実態調査	厚生労働省	医政局経済課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00450153	医薬品価格調査	厚生労働省	医政局経済課	一般統計	２年	?登録あり	〇	-	?作成機関情報
00450154	特定保険医療材料・再生医療等製品価格調査	厚生労働省	医政局経済課	一般統計	２年	?登録あり	〇	-	?作成機関情報
00450155	医療用医薬品における情報化進捗状況調査	厚生労働省	医政局経済課	業務統計	年	-	-	-	-
00450156	医療機器等における情報化進捗状況調査	厚生労働省	医政局経済課	業務統計	年	-	-	-	-
00450161	原子爆弾被爆者実態調査	厚生労働省	健康局総務課	一般統計	10年	?登録あり	〇	-	?作成機関情報
00450171	国民健康・栄養調査	厚生労働省	健康局健康課栄養指導室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00450172	喫煙環境に関する実態調査	厚生労働省	健康局健康課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00450173	全国がん登録	厚生労働省	健康局がん・疾病対策課	その他	年	?登録あり	〇	-	?作成機関情報
00450174	(仮)風しん対策の意向調査	厚生労働省	健康局結核感染症課・健康課予防接種室	その他	不定期	-	-	-	-
00450181	血液製剤使用実態調査	厚生労働省	医薬・生活衛生局血液対策課	その他	年	-	-	-	-
00450191	食中毒統計調査	厚生労働省	医薬・生活衛生局食品監視安全課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00450192	食肉検査等情報還元調査	厚生労働省	医薬・生活衛生局食品監視安全課	一般統計	年	?登録あり	〇	〇	?作成機関情報
